Name,UTM X,UTM Y,Longitude,Latitude,Altitude,Icon
S78,352667,9166157,109.664597,-7.541564304,77.534,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S79,352664,9165774,109.6645592,-7.545027795,47.803,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S80,352648,9165402,109.6644039,-7.54839145,45.387,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S81,352033,9166579,109.6588634,-7.537730471,101.446,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S82,352060,9167091,109.6591223,-7.533101072,103.023,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S83,352109,9167688,109.6595829,-7.527703604,17.016,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S84,354779,9163936,109.6836756,-7.561707583,55.478,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S85,354736,9164565,109.6833032,-7.556018148,65.441,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S86,354749,9165011,109.6834332,-7.551985173,76.945,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S87,354747,9165481,109.6834279,-7.547734748,99.84,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S88,354752,9165798,109.6834819,-7.544868145,154.67,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S89,354790,9166192,109.683837,-7.541306103,221.663,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S90,354773,9166702,109.6836969,-7.536693532,271.058,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S91,354773,9166977,109.6837044,-7.534206612,255.26,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S92,354803,9167430,109.6839886,-7.530110791,215.024,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S93,354775,9167893,109.6837475,-7.525922956,99.558,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S94,354810,9168156,109.6840719,-7.523545507,72.629,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S95,354736,9168486,109.6834103,-7.520559187,69.604,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S96,355355,9168152,109.6890105,-7.523596476,74.442,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S97,355315,9167735,109.6886367,-7.527366478,109.432,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S98,355311,9167339,109.6885897,-7.530947544,156.681,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S99,355317,9167061,109.6886365,-7.533461763,179.872,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S100,355701,9167456,109.692127,-7.529900036,123.436,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S101,355900,9167757,109.6939385,-7.527183356,102.89,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S102,355887,9168162,109.6938317,-7.523520432,85.507,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S103,355922,9168602,109.6941607,-7.519542284,99.294,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S104,355907,9168978,109.694035,-7.516141564,130.927,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S105,356466,9168935,109.6990993,-7.516545476,232.551,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S106,356573,9168540,109.7000583,-7.520120498,93.183,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S107,357006,9168514,109.7039814,-7.520367239,63.519,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S108,357557,9168613,109.7089771,-7.519486664,97.711,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S109,357938,9168804,109.7124348,-7.517769511,103.697,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S110,355371,9164001,109.6890425,-7.56113592,43.145,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S111,355864,9164035,109.6935113,-7.560841848,45.64,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S112,356502,9163894,109.6992895,-7.562134242,51.507,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S113,356971,9163886,109.7035397,-7.562219243,56.258,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S114,357576,9164007,109.7090259,-7.561141249,73.366,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S115,357960,9164055,109.7125073,-7.560717447,75.074,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
